City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Pareora,NZ,2021-10-20 14:24:44,-44.4871,171.2132,44.19,87,5,2.53
241,Bocaiuva,BR,2021-10-20 14:24:45,-17.1078,-43.815,83.91,52,47,5.73
242,Kalangala,UG,2021-10-20 14:24:45,-0.3089,32.225,76.35,62,72,2.33
243,Tres Arroyos,AR,2021-10-20 14:24:45,-38.3739,-60.2798,68.7,40,0,11.86
244,Mahina,PF,2021-10-20 14:24:45,-17.5065,-149.489,76.77,78,75,10.36
245,Eenhana,NA,2021-10-20 14:24:46,-17.4667,16.3333,92.95,26,78,11.25
246,Qostanay,KZ,2021-10-20 14:24:46,53.1667,63.5833,48.49,81,75,8.95
247,Guerrero Negro,MX,2021-10-20 14:24:46,27.9769,-114.0611,62.33,75,99,9.6
248,Songjianghe,CN,2021-10-20 14:24:47,42.1859,127.479,26.89,74,0,3.38
249,Kindu,CD,2021-10-20 14:24:47,-2.95,25.95,80.98,69,98,4.41
250,Honiara,SB,2021-10-20 14:24:48,-9.4333,159.95,78.13,85,54,0.76
251,Muros,ES,2021-10-20 14:24:48,42.7762,-9.0603,70.09,79,11,18.68
252,Ouadda,CF,2021-10-20 14:24:48,8.0777,22.4007,79.45,73,100,2.68
253,Kavaratti,IN,2021-10-20 14:24:48,10.5669,72.642,82.24,72,92,12.95
254,Te Anau,NZ,2021-10-20 14:24:49,-45.4167,167.7167,36.34,96,36,1.01
255,Caxito,AO,2021-10-20 14:24:49,-8.5785,13.6643,79.45,45,67,8.84
256,Bonthe,SL,2021-10-20 14:24:49,7.5264,-12.505,85.41,66,82,10.33
257,Mecca,SA,2021-10-20 14:24:50,21.4267,39.8261,92.3,37,0,14.65
258,Mogadishu,SO,2021-10-20 14:24:50,2.0371,45.3438,85.87,84,75,13.8
259,Cockburn Town,TC,2021-10-20 14:24:50,21.4612,-71.1419,76.96,88,75,10.36
260,La Ronge,CA,2021-10-20 14:24:51,55.1001,-105.2842,26.85,86,40,2.3
261,Parral,MX,2021-10-20 14:24:51,26.9333,-105.6667,63.73,56,99,2.1
